symbol,log2FC,FDR
NDUFAB1,-0.17359999999999687,0.09290749120343648
RNF130,-0.2294966666666669,0.08162157773456062
SDF4,0.34210933333333315,0.029626154202230692
SDF4,0.40050933333333205,0.035365927524755356
CRYAB,0.14562333333332944,0.06743835119183866
UFC1,-0.3876176666666673,0.03081793061463843
RNF114,0.09030300000000047,0.3972809714943748
RNF114,-0.12884466666666583,0.34452260146144625
SH3BGRL,-0.3799290000000006,0.01536435331687615
RPL11,-0.09531666666666716,0.09527424708962519
ALDH2,0.2220519999999997,0.18187753610129082
FGB,0.040154333333333625,0.8884855439107436
LAPTM4A,-0.1715166666666672,0.0995487788906122
LAPTM4A,-0.4368366666666681,0.2150089805576214
LAPTM4A,-0.18460000000000143,0.0940247082547905
MAF1,0.025945000000000107,0.7133940113458022
MAF1,0.1327086666666668,0.31558520355376235
TMEM14C,-0.1400666666666659,0.08323442309643987
TMEM14C,-0.18738666666666504,0.06357312992142511
SERPINE1,0.6104900000000004,0.010365992529409174
UGP2,-0.18808333333333316,0.1669236851302001
LPCAT1,0.5776703333333337,0.01211708632788194
TTC3,-0.09103266666666698,0.5621429511265384
TTC3,-0.39430100000000046,0.16151285252511
ATP6AP2,0.3708563333333341,0.08192485677657507
ATP6AP2,-0.05830999999999875,0.5708625719030461
RTCB,-0.2273240000000012,0.11317086547683673
ADIPOR1,0.015109333333333197,0.5883962215669821
ADIPOR1,0.14836733333333285,0.14714089320119483
ADIPOR1,0.11744633333333354,0.10498134701149049
TXNRD1,0.08496999999999844,0.16408626822098915
TXNRD1,0.5017413333333316,0.13583567398138233
FSTL1,0.02383333333333404,0.6642930655591911
PCOLCE,0.08984699999999979,0.6236557136372647
RTF2,-0.23298400000000097,0.1168744957698523
RTF2,-0.0047666666666650315,0.9382100134155762
VDAC1,-0.18604999999999983,0.2258724147501397
COX5A,0.06235333333333415,0.2205149173564478
GLB1,0.3433459999999986,0.1375565473417329
SLC39A1,0.20412266666666845,0.13422510864383652
ERRFI1,-0.12120099999999923,0.2218761522961563
RPN2,0.26602666666666686,0.10313441415119211
PEDS1-UBE2V1,0.05333733333333157,0.5031788384904294
UBE2V1,0.12534833333333317,0.4132898682460132
STARD7,0.7471549999999993,0.05223379715388631
STARD7,0.2774950000000018,0.029970487190749337
PSMB8,-0.020886666666665832,0.831759650893121
TPM3,-0.05727166666666683,0.4881379366793529
TPM3,0.17214999999999847,0.04816815701506314
PSMA5,-0.06069333333333482,0.3279907972902829
DCTN1,0.1611166666666657,0.3399127968598896
IFITM1,-0.031276666666665065,0.7402850578532916
IFITM1,-0.06110333333333351,0.5159199806579564
