ProbeID,log2FC,FDR
11715149_x_at,-0.07452966666666683,0.804487164299771
11715150_s_at,0.1658230000000005,0.42533502090022224
11715151_x_at,-0.2135186666666664,0.2925005543783106
11715152_at,0.06336466666666674,0.5078066643540988
11715153_s_at,0.10597866666666667,0.4484118858056097
11715154_s_at,-0.22711199999999998,0.1560177727395047
11715155_s_at,0.09804233333333201,0.5287069297090596
11715156_s_at,0.1128856666666671,0.3358658288401536
11715157_s_at,-0.19590566666666653,0.36677737677573985
11715158_s_at,-0.30553066666666684,0.1582378704422948
11715159_at,0.07552666666666674,0.41044692138335354
11715160_x_at,0.0759753333333335,0.7950857780377609
11715161_s_at,-0.02136733333333307,0.8804665710922569
11715162_s_at,0.1994443333333331,0.24197006501453183
11715163_s_at,0.08379666666666674,0.5928693248140781
11715164_s_at,-0.0037960000000003546,0.9928038088974938
11715165_at,-0.1695113333333338,0.43603594070701057
11715166_at,0.10963366666666685,0.6788384881475042
11715167_at,-0.1907486666666669,0.08356377789410792
11715168_s_at,0.21695766666666705,0.23473568734128086
11715169_at,0.22724933333333297,0.21018587395361993
11715170_x_at,-0.09074566666666684,0.519165239445146
11715171_at,0.03108233333333299,0.7857431419225742
11715172_at,-0.0004533333333331946,0.9975385508361383
11715173_s_at,0.2640366666666658,0.21364547638049858
11715174_s_at,0.21230833333333354,0.40239694305015394
11715175_x_at,0.11486199999999869,0.6435697029898693
11715176_at,-0.2625256666666669,0.05985025605069686
11715177_s_at,-0.42290033333333454,0.2719369740141384
11715178_s_at,0.12604466666666703,0.3185471804225021
11715179_s_at,-0.2765226666666667,0.24845617283367236
11715180_s_at,-0.08064500000000052,0.46629890521687123
11715181_x_at,0.07644600000000068,0.6809045521049681
11715182_x_at,0.44055666666666493,0.06611467539162914
11715183_s_at,-0.320354,0.32030872961876267
11715184_x_at,-0.23748666666666374,0.16935838740979406
11715185_x_at,-0.2506646666666672,0.205407667624259
11715186_x_at,0.017054666666667107,0.9434512816493436
11715187_x_at,0.0694376666666674,0.8651363338242074
11715188_at,-0.11739333333333324,0.41420934367295825
11715189_s_at,0.11233999999999966,0.36921561094744954
11715190_s_at,-0.5614030000000003,0.14338805761126544
11715191_s_at,-0.5669543333333333,0.05833862848777768
11715192_s_at,-0.5005336666666667,0.12063196815261457
11715193_s_at,0.011030666666666633,0.9551345444805784
11715194_s_at,0.15686433333333305,0.2109758292256618
11715195_at,-0.5328096666666662,0.05069913363800127
11715196_s_at,-0.14704600000000134,0.4089849315303177
11715197_s_at,0.010821333333332461,0.9760592825825726
11715198_s_at,0.01640700000000006,0.9522865556373502
11715199_s_at,0.30134433333333366,0.053080043875267796
11715200_s_at,0.17811066666666786,0.17879018711334554
11715201_s_at,0.2821909999999992,0.28735273264745326
11715202_s_at,-0.20653933333333363,0.20036499211951936
11715203_s_at,-0.18800300000000014,0.1133167157799066
11715204_x_at,-0.22320600000000024,0.4047676500465887
11715205_x_at,0.0058629999999997295,0.9684279073395968
11715206_x_at,0.0058629999999997295,0.9684279073395968
11715207_at,0.20372400000000024,0.4650246684643345
11715208_s_at,0.28548166666666663,0.24370990317498165
11715209_s_at,0.048850666666668374,0.352675073448012
11715210_s_at,0.16934333333333385,0.5380172769728356
11715211_s_at,-0.16401833333333382,0.2542224439576556
11715212_x_at,0.04389766666666439,0.6320376340766013
11715213_s_at,0.10570700000000022,0.4235877284561602
11715214_at,0.10036766666666663,0.44841678021092474
11715215_s_at,0.2675049999999999,0.4576315031705955
11715216_s_at,0.037096666666666334,0.7969839898388167
11715217_s_at,-0.009925666666666277,0.9624443676507658
11715218_s_at,0.3851066666666654,0.021594063759498214
11715219_s_at,0.1184949999999998,0.41372495725587
11715220_s_at,-0.5573736666666669,0.08153784678356185
11715221_x_at,0.10070433333333373,0.1381470457348963
11715222_at,-0.5593700000000004,0.0759357686288853
11715223_s_at,0.025884666666666778,0.7816267525424637
11715224_s_at,0.1511556666666669,0.3304424315150141
11715225_s_at,-0.6812493333333336,0.028819564026128116
